Pass;CWindow;SF;RMSE_SSD;RMSE_SSWE;R2_SSD;R2_SSWE;MAE_SSD;MAE_SSWE
DESC;(5, 5);28.0;19.62;53.89;0.93;0.95;19.22;53.73
DESC;(5, 5);29.0;20.9;57.38;0.93;0.95;20.49;57.26
DESC;(5, 5);30.0;22.09;60.65;0.93;0.95;21.67;60.56
DESC;(5, 5);31.0;23.21;63.72;0.93;0.95;22.77;63.64
DESC;(5, 5);32.0;24.26;66.6;0.93;0.95;23.81;66.53
DESC;(5, 5);33.0;25.24;69.3;0.93;0.95;24.78;69.25
DESC;(5, 5);34.0;26.17;71.85;0.93;0.95;25.7;71.8
DESC;(5, 5);35.0;27.05;74.26;0.93;0.95;26.56;74.21
DESC;(5, 5);36.0;27.88;76.53;0.93;0.95;27.37;76.49
DESC;(5, 5);37.0;28.66;78.69;0.93;0.95;28.14;78.64
DESC;(5, 5);38.0;29.4;80.73;0.93;0.95;28.87;80.68
DESC;(5, 5);39.0;30.11;82.66;0.93;0.95;29.57;82.62
DESC;(5, 5);40.0;30.78;84.5;0.93;0.95;30.23;84.45
DESC;(5, 5);41.0;31.42;86.25;0.93;0.95;30.85;86.2
DESC;(5, 5);42.0;32.03;87.92;0.93;0.95;31.45;87.87
DESC;(5, 5);43.0;32.6;89.51;0.93;0.95;32.02;89.46
DESC;(5, 5);44.0;33.16;91.03;0.93;0.95;32.56;90.97
DESC;(5, 5);45.0;33.69;92.49;0.93;0.95;33.08;92.42
DESC;(5, 5);46.0;34.19;93.88;0.93;0.95;33.57;93.81
DESC;(5, 5);47.0;34.68;95.21;0.93;0.95;34.05;95.13
DESC;(5, 5);48.0;35.14;96.48;0.93;0.95;34.5;96.4
DESC;(5, 5);49.0;35.59;97.71;0.93;0.95;34.94;97.62
DESC;(5, 5);50.0;36.01;98.88;0.93;0.95;35.36;98.79
DESC;(5, 5);51.0;36.42;100.01;0.93;0.95;35.76;99.92
DESC;(5, 5);52.0;36.82;101.1;0.93;0.95;36.15;101.0
DESC;(5, 5);53.0;37.2;102.14;0.93;0.95;36.52;102.04
DESC;(5, 5);54.0;37.56;103.15;0.93;0.95;36.88;103.04
DESC;(5, 5);55.0;37.92;104.12;0.93;0.95;37.23;104.01
DESC;(5, 5);56.0;38.26;105.05;0.93;0.95;37.56;104.94
DESC;(5, 5);57.0;38.59;105.96;0.93;0.95;37.88;105.84
DESC;(5, 5);58.0;38.9;106.83;0.93;0.95;38.19;106.71
DESC;(5, 5);59.0;39.21;107.67;0.93;0.95;38.49;107.54
DESC;(5, 5);60.0;39.51;108.48;0.93;0.95;38.78;108.35
DESC;(5, 5);61.0;39.79;109.27;0.93;0.95;39.06;109.14
DESC;(5, 5);62.0;40.07;110.03;0.93;0.95;39.34;109.9
DESC;(5, 5);63.0;40.34;110.77;0.93;0.95;39.6;110.63
DESC;(5, 5);64.0;40.6;111.49;0.93;0.95;39.85;111.34
DESC;(5, 5);65.0;40.85;112.18;0.93;0.95;40.1;112.03
DESC;(5, 5);66.0;41.09;112.85;0.93;0.95;40.34;112.7
DESC;(5, 5);67.0;41.33;113.5;0.93;0.95;40.57;113.35
DESC;(5, 5);68.0;41.56;114.14;0.93;0.95;40.8;113.98
DESC;(5, 5);69.0;41.78;114.75;0.93;0.95;41.02;114.59
DESC;(5, 5);70.0;42.0;115.35;0.93;0.95;41.23;115.18
DESC;(5, 5);71.0;42.21;115.93;0.93;0.95;41.44;115.76
DESC;(5, 5);72.0;42.42;116.49;0.93;0.95;41.64;116.32
DESC;(5, 5);73.0;42.62;117.04;0.93;0.95;41.83;116.87
DESC;(5, 5);74.0;42.81;117.58;0.93;0.95;42.02;117.4
DESC;(5, 5);75.0;43.0;118.1;0.93;0.95;42.21;117.91
DESC;(5, 5);76.0;43.18;118.6;0.93;0.95;42.39;118.42
DESC;(5, 5);77.0;43.36;119.1;0.93;0.95;42.56;118.91
DESC;(5, 5);78.0;43.54;119.58;0.93;0.95;42.73;119.38
DESC;(5, 5);79.0;43.71;120.04;0.93;0.95;42.9;119.85
DESC;(5, 5);80.0;43.87;120.5;0.93;0.95;43.06;120.3
DESC;(5, 5);81.0;44.04;120.95;0.93;0.95;43.22;120.75
DESC;(5, 5);82.0;44.19;121.38;0.93;0.95;43.38;121.18
DESC;(5, 5);83.0;44.35;121.8;0.93;0.95;43.53;121.6
DESC;(5, 5);84.0;44.5;122.22;0.93;0.95;43.67;122.01
DESC;(5, 5);85.0;44.65;122.62;0.93;0.95;43.82;122.41
DESC;(5, 5);86.0;44.79;123.02;0.93;0.95;43.96;122.8
DESC;(5, 5);87.0;44.93;123.4;0.93;0.95;44.1;123.19
DESC;(5, 5);88.0;45.07;123.78;0.93;0.95;44.23;123.56
DESC;(5, 5);89.0;45.2;124.15;0.93;0.95;44.36;123.93
DESC;(5, 5);90.0;45.33;124.51;0.93;0.95;44.49;124.29
DESC;(5, 5);91.0;45.46;124.86;0.93;0.95;44.61;124.64
DESC;(5, 5);92.0;45.59;125.21;0.93;0.95;44.74;124.98
DESC;(5, 5);93.0;45.71;125.54;0.93;0.95;44.86;125.31
DESC;(5, 5);94.0;45.83;125.87;0.93;0.95;44.97;125.64
DESC;(5, 5);95.0;45.95;126.2;0.93;0.95;45.09;125.96
DESC;(5, 5);96.0;46.06;126.51;0.93;0.95;45.2;126.28
DESC;(5, 5);97.0;46.17;126.82;0.93;0.95;45.31;126.59
DESC;(5, 5);98.0;46.28;127.13;0.93;0.95;45.42;126.89
DESC;(5, 5);99.0;46.39;127.42;0.93;0.95;45.53;127.18
DESC;(5, 5);100.0;46.5;127.72;0.93;0.95;45.63;127.47
All;(5, 5);1.0;747.09;2106.79;0.66;0.22;658.11;1932.36
All;(5, 5);2.0;349.3;982.06;0.66;0.22;303.79;889.22
All;(5, 5);3.0;216.87;607.79;0.66;0.22;185.68;541.5
All;(5, 5);4.0;150.8;421.26;0.66;0.22;126.63;367.65
All;(5, 5);5.0;111.32;309.95;0.66;0.22;91.2;263.33
All;(5, 5);6.0;85.17;236.4;0.66;0.22;67.57;193.79
All;(5, 5);7.0;66.67;184.59;0.66;0.22;50.7;144.12
All;(5, 5);8.0;53.0;146.58;0.66;0.22;38.87;109.99
All;(5, 5);9.0;42.63;118.02;0.66;0.22;31.07;88.23
All;(5, 5);10.0;34.62;96.39;0.66;0.22;26.47;75.93
All;(5, 5);11.0;30.72;85.49;0.53;0.08;25.93;73.57
All;(5, 5);12.0;25.29;71.11;0.53;0.08;22.62;64.88
All;(5, 5);13.0;21.2;60.64;0.53;0.08;19.82;57.53
All;(5, 5);14.0;18.3;53.65;0.53;0.08;17.42;51.23
All;(5, 5);15.0;16.5;49.72;0.53;0.08;15.34;45.77
All;(5, 5);16.0;15.65;48.31;0.53;0.08;13.52;40.99
All;(5, 5);17.0;15.57;48.81;0.53;0.08;12.13;37.52
All;(5, 5);18.0;16.04;50.57;0.53;0.08;11.64;37.03
All;(5, 5);19.0;16.85;53.11;0.53;0.08;12.51;39.34
All;(5, 5);20.0;17.85;56.07;0.53;0.08;13.52;41.96
